"features.plot","id","pct.exp","avg.exp","avg.exp.scaled"
"GZMB","Terminal_Tex",92.4796026959915,23.1064279043537,2.5
"PRF1","Terminal_Tex",81.9084781837531,11.7756867412339,2.26913382453089
"IFNG","Terminal_Tex",23.0578219226676,3.13171225917114,0.761841415667674
"FOXP3","Terminal_Tex",0.0709471443774388,0.00590385661344026,-0.477769029930694
"IL2RA","Terminal_Tex",1.24157502660518,0.0602472358907754,-0.571774198712693
"NKG7","Terminal_Tex",98.6165306846399,48.9132055537783,1.90034754720086
"GNLY","Terminal_Tex",77.5807023767293,32.4540815199099,2.35554080420102
"TCF7","Early_Tex",16.1845477846942,0.747375062767202,1.03097093389894
"SLAMF6","Early_Tex",7.79934090076895,0.332398938510697,1.09271868571982
"IL7R","Early_Tex",12.2665690223361,1.13633884689527,-1.11145812709495
"SELL","Early_Tex",2.16038081288905,0.123275012667145,-0.95630947408616
"CCR7","Early_Tex",2.67301354815086,0.123105989945486,-1.02338903479278
"PDCD1","Early_Tex",1.72098132552179,0.0749936282913801,-1.1950428471774
"TOX","Early_Tex",17.1365800073233,0.755460989830238,1.68509075642796
"HAVCR2","Early_Tex",17.4295129989015,0.904912260155721,1.08234121385702
"LAG3","Early_Tex",5.96850970340535,0.263235590542998,-0.966433405818035
"TIGIT","Early_Tex",35.1885756133284,2.02589925277238,0.960606769022215
"GZMB","Early_Tex",34.456243134383,3.75918675203568,0.340942595436017
"PRF1","Early_Tex",70.6700842182351,6.308365981033,1.38908702749329
"IFNG","Early_Tex",20.9080922738923,4.25317696194078,1.19046285697095
"FOXP3","Early_Tex",0.0732332478945441,0.00221574371922359,-0.49757608442643
"IL2RA","Early_Tex",3.36872940314903,0.157084628881638,-0.299401105324811
"NKG7","Early_Tex",97.58330281948,30.3613647669919,1.36946785220515
"GNLY","Early_Tex",15.342365433907,2.98359950563618,-0.0485211256772414
"TCF7","Tpex_like",16.5689149560117,0.77500266010987,1.11589814956332
"SLAMF6","Tpex_like",6.3782991202346,0.2626179282149,0.588388891647716
"IL7R","Tpex_like",59.4574780058651,9.83713534018818,1.13973178443011
"SELL","Tpex_like",6.89149560117302,0.467148407524856,0.346199036575306
"CCR7","Tpex_like",18.475073313783,1.72883114774709,1.38650071820927
"PDCD1","Tpex_like",7.44134897360704,0.38381206762659,0.354153346940183
"TOX","Tpex_like",8.06451612903226,0.37582851465246,0.206844047379873
"HAVCR2","Tpex_like",5.53519061583578,0.321974679670209,-0.438721587999944
"LAG3","Tpex_like",11.4736070381232,0.598133823310458,0.0329567269097711
"TIGIT","Tpex_like",15.7258064516129,1.00600238457178,-0.0195840856651045
"GZMB","Tpex_like",22.0307917888563,2.72048763029054,-0.0128840091822451
"PRF1","Tpex_like",30.6818181818182,2.26787417923226,0.120866000186082
"IFNG","Tpex_like",34.3841642228739,9.07893708248379,2.35351260423607
"FOXP3","Tpex_like",0.696480938416422,0.0416399034552333,-0.289524573266396
"IL2RA","Tpex_like",2.89589442815249,0.170954956178767,-0.26226665860042
"NKG7","Tpex_like",57.074780058651,11.8778912812521,0.35266508236104
"GNLY","Tpex_like",15.9090909090909,4.21049359287125,0.254799975004047
"TCF7","Treg",9.61727183513248,0.362713451242735,-0.315094591871931
"SLAMF6","Treg",4.31795878312071,0.148849771386508,-0.296878856520775
"IL7R","Treg",58.6359175662414,5.74567190255331,0.482518620330284
"SELL","Treg",24.6810598626104,1.36980015063544,2.5
"CCR7","Treg",13.9842983316977,1.23171999243645,0.840607287293974
"PDCD1","Treg",11.1383709519136,0.553378082840589,1.06327046009162
"TOX","Treg",13.1501472031403,0.594894134506116,1.10317094892455
"HAVCR2","Treg",18.351324828263,0.955876318115587,1.19227458551302
"LAG3","Treg",12.6104023552502,0.818703688429342,0.582405722499168
"TIGIT","Treg",56.7222767419038,5.13553642986654,2.5
"GZMB","Treg",14.8675171736997,2.87825049461986,0.0467946747443347
"PRF1","Treg",28.3120706575074,1.82692369368166,-0.107527518716277
"IFNG","Treg",9.9116781157998,1.09858550000063,-0.447282308300185
"FOXP3","Treg",21.0009813542689,1.12001646233846,2.5
"IL2RA","Treg",32.1393523061825,2.99088578971335,2.5
"NKG7","Treg",24.4357212953876,3.86570215688169,-0.759226081594328
"GNLY","Treg",23.0618253189401,9.237471814271,1.01780033390444
"TCF7","Cycling_T",14.6160962072155,0.354772731625856,-0.346733722454577
"SLAMF6","Cycling_T",8.41813135985199,0.155655451789817,-0.241504593048288
"IL7R","Cycling_T",35.4301572617946,2.36072782935714,-0.483376051450503
"SELL","Cycling_T",18.9639222941721,0.508215999724785,0.480837351777538
"CCR7","Cycling_T",14.1535615171138,0.596149480351256,-0.0692434981175465
"PDCD1","Cycling_T",24.5143385753932,0.680705617654577,1.54657809619805
"TOX","Cycling_T",26.4569842738205,0.646499784624288,1.29635327322867
"HAVCR2","Cycling_T",30.7123034227567,1.04773183614086,1.38336823083533
"LAG3","Cycling_T",28.1221091581869,1.13292717049124,1.25970609530169
"TIGIT","Cycling_T",45.790934320074,1.81707422023914,0.790091063751191
"GZMB","Cycling_T",47.5485661424607,7.47222701400333,1.16969724267256
"PRF1","Cycling_T",55.3191489361702,3.16721971554108,0.50392489240733
"IFNG","Cycling_T",25.9019426456984,2.54840559576245,0.490195252537026
"FOXP3","Cycling_T",7.21554116558742,0.195427827002701,0.453038636941032
"IL2RA","Cycling_T",12.5809435707678,0.55666712314945,0.625042217878839
"NKG7","Cycling_T",72.3404255319149,15.8630363635137,0.660667706206479
"GNLY","Cycling_T",25.6244218316374,6.95201081406283,0.732395600343788
"TCF7","Tumor_T1",16.0480349344978,0.339940743365228,-0.40633038677963
"SLAMF6","Tumor_T1",6.4410480349345,0.15445607756328,-0.251239563771646
"IL7R","Tumor_T1",53.1659388646288,5.59858310796774,0.451956064825917
"SELL","Tumor_T1",8.84279475982533,0.350290536037044,-0.0585955484568609
"CCR7","Tumor_T1",12.6637554585153,1.15075991387334,0.740301843197281
